,tokens,id,date,NER_labels,sentiment_labels,categ_labels
0,"['Hanging' 'out' 'with' 'the' '#' 'Popinboyz' 'and' 'it' ""'s"" 'been' 'an'
 'amazing' 'experience' '.' 'Afro' 'paper' ':' 'the' 'rolling' 'stone'
 'project' 'and' 'I' 'do' ""n't"" 'think' 'you' 'know' 'Popin' 'boyz' 'are'
 'projects' 'that' ""'s"" 'gonna' 'shake' 'the' 'industry' '.' 'Do' ""n't""
 'sleep' 'on' '{{USERNAME}}' '{{USERNAME}}' '{{USERNAME}}' 'Watch' 'out'
 'for' 'these' 'guys']",1224056835298250758,2020-02-02,"['O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
1,"['""' 'It' ""'s"" 'not' 'a' 'question' 'of' 'knowing' 'right' 'away' 'if'
 'your' 'job' '---' 'is' 'your' 'dream' 'job' '---' 'but' 'finding' 'your'
 'passion' 'in' 'the' 'job' 'that' 'you' 'have' '.' '""' '-'
 '{@Atom Araullo@}' '#' 'PaanoBaToVlogs' '#' 'QuotableQuote' '#'
 'CareerisMyPassion' '#' 'LoveMyJob' '#' 'CareerGoals' '#' 'Passionate']",1273251723398623232,2020-06-17,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
2,"['{{URL}}' 'presents' '{{USERNAME}}' 'at' 'the' 'venue' 'for' 'Prog' 'in'
 'the' 'Park' '2.0' '{{URL}}' 'via' '{@YouTube@}' 'Do' ""n't"" 'just' 'take'
 'my' 'word' 'about' 'how' 'braw' '{@Fife Council@}' 'The' 'Glen'
 'Pavilion' 'is' '{{USERNAME}}']",1224029146206167044,2020-02-02,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'B-location', 'I-location', 'O', 'O']",neutral,LABEL_3
3,"['.' '{@Air Force Football@}' 'posted' 'its' 'first' '10-win' 'regular'
 'season' 'under' 'head' 'coach' 'Troy' 'Calhoun' 'and' 'first' 'since'
 'the' '1998' 'team' 'went' '11-1' 'and' 'picked' 'up' 'the' 'programs'
 '400th' 'win' '{{URL}}']",1201017635313291266,2019-12-01,"['O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_1
4,"['Lifeprint' '2x3' 'Instant' 'Printer' 'for' 'iPhone' '.' 'Turn' 'Your'
 'iPhone' 'Into' 'an' 'Instant-Pr' '..' '.' '{{URL}}' 'via' '{@Amazon@}'
 'Harry' 'Potter' 'Magic' 'Photo' 'and' 'Video' 'Printer' 'for' 'iPhone'
 'and' 'Android' '.' 'Your' 'Phot']",1246739207046995969,2020-04-05,"['B-product', 'I-product', 'I-product', 'O', 'O', 'B-product', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'B-creative_work', 'I-creative_work', 'O', 'I-product', 'O', 'O', 'I-product', 'O', 'B-product', 'O', 'B-product', 'O', 'O', 'O']",positive,LABEL_3
5,"['#' 'SenaSeMaafiMaangoAajTak' '{@AajTak@}' 'I' 'guess' 'negative'
 'journalism' 'made' 'you' 'India' ""'s"" 'most' 'watched' 'News' 'channel'
 '.' 'Because' 'you' 'provide' 'news' 'that' 'make' 'the' 'big' 'beard'
 'guys' 'happy' '.']",1272977610599993352,2020-06-16,"['O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_0
6,"['Watching' '{{USERNAME}}' '’s' 'new' 'YT' 'video' '&' 'I' 'almost' 'ran'
 'a' 'lap' 'around' 'the' 'room' 'when' 'she' 'said' 'you' 'should' 'n’t'
 'need' 'to' 'use' 'more' 'than' '1' 'styler' '(' 'cocktailing' ')' 'if'
 'the' 'styler' 'does' 'n’t' 'do' 'the' 'job' 'that' 'it' 'says' 'it'
 'will' 'do' ',' 'it' '’s' 'not' 'the' 'styler' 'for' 'you' '!' 'And' 'it'
 'will' 'save' 'you' '$$$' 'in' 'the' 'long' 'run']",1178306384657616897,2019-09-29,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
7,"['""' 'Billionaire' 'Philanthropists' 'Lynda' 'and' 'Stewart' 'Resnick'
 'Just' 'Donated' '$' '750' 'Million' 'to' 'Fight' 'Climate' 'Change' '..'
 '.' 'The' 'owners' 'of' 'Wonderful' 'Company' ',' 'the' 'Resnicks' 'own'
 'businesses' 'that' 'are' 'considered' 'to' 'be' 'especially' 'damaging'
 'to' 'the' 'environment' '.' '""' '{{URL}}' 'via' '{@RobbReport@}']",1178095975530844160,2019-09-28,"['O', 'O', 'O', 'B-person', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'I-corporation', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product']",neutral,LABEL_3
8,"['Tyson' 'Fury' 'dominates' 'Deontay' 'Wilder' 'to' 'become' 'heavyweight'
 'champion' 'again' '{{URL}}' 'via' '{@NBC News@}']",1231665637933666306,2020-02-23,"['B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product']",neutral,LABEL_1
9,"['Sorry' 'I' ""'m"" 'late' 'but' 'she' ""'s"" 'awesome' 'so' 'follow' 'and'
 'check' 'the' 'link' '{{USERNAME}}' 'Join' 'FREE' 'today' 'only' '!!'
 'Come' 'have' 'fun' 'with' 'me' 'on' 'my' 'fan' 'page' '!' 'You' 'DO'
 'NOT' 'want' 'to' 'miss' 'this' '.' 'Happy' 'Valentines' 'Day' '!'
 '{{URL}}']",1228945465007312896,2020-02-16,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'B-event', 'I-event', 'O', 'O']",positive,LABEL_3
10,"['Wow' 'what' 'a' 'first' 'stream' 'back' '!' 'Went' 'way' 'longer' 'than'
 'expected' ',' 'but' 'why' 'stop' 'if' 'you' '’re' 'having' 'fun' '!'
 'Shoutout' 'to' '{{USERNAME}}' 'and' '{{USERNAME}}' 'for' 'the' 'raids'
 '!' 'And' 'thank' 'you' '{{USERNAME}}' 'for' 'the' 'gifted' '!' 'We'
 'hit' '300' 'followers' 'on' 'twitch' 'so' 'thank' 'you' 'everyone' 'for'
 'getting' 'us' 'there' '!']",1297076434633138179,2020-08-22,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
11,"['3' 'days' 'left' 'in' 'the' 'decade' 'and' 'we' 'recognize' '3'
 '{{USERNAME}}' 'teams' 'that' 'advanced' 'to' 'the' 'Final' 'Four' 'in'
 '2010s' '.' 'Which' 'years' 'did' 'the' 'Tommies' 'make' 'deep' 'runs'
 'this' 'decade' '?' '{{USERNAME}}' '{{USERNAME}}']",1211465600771534850,2019-12-30,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_1
12,"['Russia' 'offers' 'Turkey' 'to' 'send' 'astronaut' 'to' 'space' 'station'
 '-' 'Turkey' 'News' '{{URL}}' 'via' '{@Hürriyet Daily News@}']",1180813932417765376,2019-10-06,"['B-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'B-location', 'O', 'O', 'O', 'B-product']",neutral,LABEL_3
13,"['I' '’m' 'so' 'happy' 'that' 'the' '{@The New York Times@}' 'sees' 'in'
 '{@Mondaire Jones@}' 'and' '{@Jamaal Bowman@}' 'what' 'the' 'progressive'
 'grassroots' 'in' 'Westchester' ',' 'Rockland' 'and' 'the' 'Bronx' 'sees'
 '!' 'They' 'will' 'both' 'be' 'extraordinary' 'Congresspersons' '!' '#'
 'cvhpower' '#' 'nycd17' '#' 'nycd16']",1271589466935828482,2020-06-12,"['O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
14,"['#' 'SexSoLoudThat' 'you' '’d' 'think' 'the' '{@Chicago Cubs@}' 'won'
 'the' 'World' 'Series' 'again' '.']",1226376804744777731,2020-02-09,"['O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'B-event', 'I-event', 'O', 'O']",neutral,LABEL_3
15,"['Climate' 'change' 'is' 'expected' 'to' 'HALVE' 'the' 'total' 'land'
 'suitable' 'for' 'coffee' 'production' 'by' '2050' '.' 'Learn' 'how'
 '{{USERNAME}}' 'is' 'helping' 'increase' 'extension' 'so' 'that'
 'farmers' 'in' 'Kenya' 'can' 'continue' 'their' 'livelihoods' '&'
 'combat' 'climate' 'change' ':' '{{URL}}' '#' 'climatechange' '#'
 'coffee' '#' 'farming']",1177674018687729664,2019-09-27,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",neutral,LABEL_3
16,"['OL' 'Reign' 'acquire' 'Rose' 'Lavelle' ""'s"" 'NWSL' 'rights' ';'
 'Lavelle' 'reportedly' 'headed' 'to' 'Manchester' 'City' '{{URL}}' 'via'
 '{@Enquirer@}' '{@Enquirer Sports@}' '{@Pat Brennan@}']",1295143441534459905,2020-08-16,"['O', 'B-group', 'O', 'B-person', 'I-person', 'O', 'B-corporation', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-group', 'I-group', 'O', 'O', 'B-product', 'B-product', 'B-person']",neutral,LABEL_1
17,"['I' ""'m"" 'scared' 'to' 'watch' '{@TOMORROW X TOGETHER@}' 'new' 'music'
 'video' '!']",1277450070888026112,2020-06-29,"['O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O']",negative,LABEL_3
18,"['Happy' 'New' 'Year' '’s' 'Day' '!' 'How' 'are' 'you' 'all' 'feeling' '?'
 'It' 'was' 'great' 'to' 'wake' 'up' 'this' 'morning' 'and' 'see' 'how'
 'much' 'you' ""'ve"" 'raised' 'by' 'supporting' 'our' 'appeal' '.'
 'Massive' 'thanks' 'to' '{{USERNAME}}' '{{USERNAME}}' ',' '{{USERNAME}}'
 'and' 'all' 'our' 'followers' '#' 'Gratitude' '#' 'ThankYou' '{{URL}}']",1212311739523575809,2020-01-01,"['O', 'B-event', 'I-event', 'I-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",positive,LABEL_3
